T, Pr, Pm
27500, 550, Pm27500 
27500, 550, 0 
27500, 550, 0 
27500, 550, 0 
27500, 550, 0 
27500, 550, 0 
27500, 550, 0 
27500, 550, 0 
27500, 550, 0 
27500, 550, 0 
27500, 550, 0 
27500, 550, 0 
27500, 550, 0 
27500, 550, 0 
27500, 550, 0 
27500, 550, 0 
27500, 550, 0 
27500, 550, 0 
27500, 550, 0 
27500, 550, 0 
27500, 550, 0 
27500, 550, 0 
27500, 550, 0 
27500, 550, 0 
27500, 550, 0 
27500, 550, 0 
27500, 550, 0 
27500, 550, 0 
27500, 550, 0 
27500, 550, 0 
27500, 550, 0 
27500, 550, 0 
27500, 550, 0 
27500, 550, 0 
27500, 550, 0 
27500, 550, 0 
27500, 550, 0 
27500, 550, 0 
27500, 550, 0 
27500, 550, 0 
27500, 550, 0 
27500, 550, 0 
27500, 550, 0 
27500, 550, 0 
27500, 550, 0 
27500, 550, 0 
27500, 550, 0 
27500, 550, 0 
27500, 550, 0 
27500, 550, 0 
27500, 550, 0 
27500, 550, 0 
27500, 550, 0 
27500, 550, 0 
27500, 550, 0 
27500, 550, 0 
27500, 550, 0 
27500, 550, 0 
27500, 550, 0 
27500, 550, 0 
27500, 550, 0 
27500, 550, 0 
27500, 550, 0 
27500, 550, 0 
27500, 550, 0 
27500, 550, 0 
27500, 550, 0 
27500, 550, 0 
27500, 550, 0 
27500, 550, 0 
27500, 550, 0 
27500, 550, 0 
27500, 550, 0 
27500, 550, 0 
27500, 550, 0 
27500, 550, 0 
27500, 550, 0 
27500, 550, 0 
27500, 550, 0 
27500, 550, 0 
27500, 550, 0 
27500, 550, 0 
27500, 550, 0 
27500, 550, 0 
27500, 550, 0 
27500, 550, 0 
27500, 550, 0 
27500, 550, 0 
27500, 550, 0 
27500, 550, 0 
27500, 550, 0 
27500, 550, 0 
27500, 550, 0 
27500, 550, 0 
27500, 550, 0 
27500, 550, 0 
27500, 550, 0 
27500, 550, 0 
27500, 550, 0 
27500, 550, 0 
27500, 550, 0 
27500, 550, 0 
27500, 550, 0 
27500, 550, 0 
27500, 550, 0 
27500, 550, 0 
27500, 550, 0 
27500, 550, 0 
27500, 550, 0 
27500, 550, 0 
27500, 550, 0 
27500, 550, 0 
27500, 550, 0 
27500, 550, 0 
27500, 550, 0 
27500, 550, 0 
27500, 550, 0 
27500, 550, 0 
27500, 550, 0 
27500, 550, 0 
27500, 550, 0 
27500, 550, 0 
27500, 550, 0 
27500, 550, 0 
27500, 550, 0 
27500, 550, 0 
27500, 550, 0 
27500, 550, 0 
27500, 550, 0 
27500, 550, 0 
27500, 550, 0 
27500, 550, 0 
27500, 550, 0 
27500, 550, 0 
27500, 550, 0 
27500, 550, 0 
27500, 550, 0 
27500, 550, 0 
27500, 550, 0 
27500, 550, 0 
27500, 550, 0 
27500, 550, 0 
27500, 550, 0 
27500, 550, 0 
27500, 550, 0 
27500, 550, 0 
27500, 550, 0 
27500, 550, 0 
27500, 550, 0 
27500, 550, 0 
27500, 550, 0 
27500, 550, 0 
27500, 550, 0 
27500, 550, 0 
27500, 550, 0 
27500, 550, 0 
27500, 550, 0 
27500, 550, 0 
27500, 550, 0 
27500, 550, 0 
27500, 550, 0 
27500, 550, 0 
27500, 550, 0 
27500, 550, 0 
27500, 550, 0 
27500, 550, 0 
27500, 550, 0 
27500, 550, 0 
27500, 550, 0 
27500, 550, 0 
27500, 550, 0 
27500, 550, 0 
27500, 550, 0 
27500, 550, 0 
27500, 550, 0 
27500, 550, 0 
27500, 550, 0 
27500, 550, 0 
27500, 550, 0 
27500, 550, 0 
27500, 550, 0 
27500, 550, 0 
27500, 550, 0 
27500, 550, 0 
27500, 550, 0 
27500, 550, 0 
27500, 550, 0 
27500, 550, 0 
27500, 550, 0 
27500, 550, 0 
27500, 550, 0 
27500, 550, 0 
27500, 550, 0 
27500, 550, 0 
27500, 550, 0 
27500, 550, 0 
27500, 550, 0 
27500, 550, 0 
27500, 550, 0 
27500, 550, 0 
27500, 550, 0 
27500, 550, 0 
27500, 550, 0 
27500, 550, 0 
27500, 550, 0 
